,,unem,elecyr,cpi,debt(million),population,debtpp,socialwalfare,socialwalfarepp,unanimous,revenue,revenuepp,lowincomehh,expect,party,relation,dpp,kmt
67,1978,,,37.56,,,,,,,,,,,,,,
68,1979,,,41.22,,,,,,,,,,,,,,
69,1980,,,49.05,,,,,,,,,,,,,,
70,1981,,,57.07,,,,,,,,,,,,,,
71,1982,,,58.75,,,,,,,,,,,,,,
72,1983,,,59.55,,,,,,,,,,,,,,
73,1984,,,59.54,,,,,,,,,,,,,,
74,1985,,,59.44,,,,,,,,,,,,,,
75,1986,,,59.85,,,,,,,,,,,,,,
76,1987,,,60.16,,,,,,,,,,,,,,
77,1988,,,60.94,,,,,,,,,,,,,,
78,1989,,,63.63,,,,,,,,,,,,,,
79,1990,,,66.25,,,,,,,,,,,,,,
80,1991,,,68.65,,,,,,,,,,,,,,
81,1992,,,71.72,,,,,,,,,,,,,,
82,1993,,,73.83,,,,,,,,,,,,,,
83,1994,,,76.86,,,,,,,,,,,,,,
84,1995,,,79.67,,,,,,,,,,,,,,
85,1996,,,82.12,,,,,,,,,,,,,,
86,1997,,,82.87,,,,,,,,,,,,,,
87,1998,,,84.26,,,,,,,,,,,,,,
88,1999,,,84.41,,,,,,,,,,,,,,
89,2000,,,85.47,,,,,,,,,,,,,,
90,2001,,,85.46,,,,,,,,,,,,,,
91,2002,,,85.29,,,,,,,,,,,,,,
92,2003,,,85.05,,,,,,,,,,,,,,
93,2004,,,86.42,,,,,,,,,,,,,,
94,2005,,,88.42,,,,,,,,,,,,,,
95,2006,,,88.95,,,,,,,,,,,,,,
96,2007,,,90.55,,,,,,,,,,,,,,
97,2008,,,93.74,,,,,,,,,,,,,,
98,2009,,,92.92,,,,,,,,,,,,,,
99,2010,,,93.82,,,,,,,,,,,,,,
100,2011,4.3,0,95.15,65676,1876960,0.034990623,16298,0.00868319,1,71620,0.038157446,1.484074085,0,1,0,1,0
101,2012,4.2,0,96.99,69612,1881645,0.036995289,13633,0.007245256,1,77562,0.041220315,1.668489736,0,1,0,1,0
102,2013,4.2,0,97.76,65138,1883208,0.034588851,9476,0.005031839,1,75871,0.040288168,1.646884251,0,1,0,1,0
103,2014,4.1,1,98.93,72129,1884284,0.038279262,9466,0.005023659,1,71582,0.037988966,1.637992075,0,1,0,1,0
104,2015,3.8,0,98.63,73072,1885541,0.038753864,8815,0.004675051,1,70992,0.037650733,1.517569628,1,1,0,1,0
105,2016,3.9,0,100,68993,1886033,0.036581014,9845,0.005219951,1,72760,0.038578328,1.502157314,1,1,1,1,0
106,2017,3.8,0,100.62,65215,1886522,0.034568905,9379,0.004971583,1,77843,0.041262705,1.457560097,1,1,1,1,0
107,2018,3.8,1,101.98,60302,1883831,0.032010302,10701,0.005680446,0,85461,0.045365534,1.454897876,1,1,1,1,0
108,2019,3.7,0,102.55,,,,,,0,,,,0,1,1,1,0
109,2020,,,,,,,,,,,,,0,1,1,1,0
